artist_id,common_name,wiki_url,language_count
483,The Notorious B.I.G.,https://en.wikipedia.org/wiki/The_Notorious_B.I.G.,62.0
484,Van Halen,https://en.wikipedia.org/wiki/Van_Halen,56.0
486,Apollo 440,,
487,Crazy Town,https://en.wikipedia.org/wiki/Crazy_Town,21.0
488,Roberta Flack,https://en.wikipedia.org/wiki/Roberta_Flack,47.0
490,Joe Augustine,,
491,Mike Auldridge,,
493,Rusty Bryant,,
494,Charlie Byrd,,
495,Petula Clark,,
496,Hampton Hawes,,
498,Engelbert Humperdinck,https://en.wikipedia.org/wiki/Engelbert_Humperdinck_(singer),44.0
499,Cleo Laine,https://en.wikipedia.org/wiki/Cleo_Laine,23.0
500,Sérgio Mendes,https://en.wikipedia.org/wiki/Sérgio_Mendes,40.0
501,The Rubettes,,
502,Das Pop,https://en.wikipedia.org/wiki/Das_Pop,3.0
503,Warren G,https://en.wikipedia.org/wiki/Warren_G,25.0
504,Guns n' Roses,,
506,Alien Ant Farm,,
507,Desireless,https://en.wikipedia.org/wiki/Desireless,29.0
509,Creedence Clearwater Revival,https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival,59.0
511,Solomon Burke,,
512,John Fogerty,https://en.wikipedia.org/wiki/John_Fogerty,36.0
513,Buddy Guy,,
514,John Hiatt,https://en.wikipedia.org/wiki/John_Hiatt,17.0
515,Bryan Ferry,https://en.wikipedia.org/wiki/Bryan_Ferry,45.0
516,The Shirelles,,
517,Cat Stevens,https://en.wikipedia.org/wiki/Cat_Stevens,66.0
518,Don Williams,https://en.wikipedia.org/wiki/Don_Williams,21.0
519,Peggy Lee,https://en.wikipedia.org/wiki/Peggy_Lee,49.0
520,Jimmy Cliff,https://en.wikipedia.org/wiki/Jimmy_Cliff,37.0
521,The Tremeloes,,
523,Beats International,,
524,The Clash,https://en.wikipedia.org/wiki/The_Clash,67.0
525,Liesbeth List,https://en.wikipedia.org/wiki/Liesbeth_List,8.0
526,Queens of the Stone Age,https://en.wikipedia.org/wiki/Queens_of_the_Stone_Age,47.0
527,Oasis,https://en.wikipedia.org/wiki/Oasis_(band),70.0
528,Mich en Scène,,
530,Sonic Youth,,
531,Bruno Brel,,
532,The Vaselines,,
533,Meat Puppets,https://en.wikipedia.org/wiki/Meat_Puppets,21.0
535,The Who,https://en.wikipedia.org/wiki/The_Who,83.0
536,Cornershop,,
537,Devo,https://en.wikipedia.org/wiki/Devo,24.0
538,The Presidents of the United States of America,https://en.wikipedia.org/wiki/The_Presidents_of_the_United_States_of_America_(band),23.0
538,The Presidents of the United States of America,https://en.wikipedia.org/wiki/Jason_Finn,2.0
540,The Whispers,,
541,George Michael,https://en.wikipedia.org/wiki/George_Michael,87.0
542,Mary J. Blige,,
543,Soundgarden,https://en.wikipedia.org/wiki/Soundgarden,61.0
