"artist_id","common_name","wiki_url","genres"
"457","Duran Duran","https://en.wikipedia.org/wiki/Duran_Duran","Pop rock|[|1|]|[|2|]|synth-pop|[|3|]|[|4|]|new wave|[|3|]|[|5|]|new pop|[|6|]|[|7|]|dance-rock|[|8|]|post-disco|[|9|]"
"461","Frankie Goes To Hollywood","https://en.wikipedia.org/wiki/Frankie_Goes_to_Hollywood","Hi-NRG|[|1|]|[|2|]|disco|[|3|]|[|4|]|dance-pop|[|4|]|new wave|[|5|]|[|6|]"
"461","Frankie Goes To Hollywood","https://en.wikipedia.org/wiki/Mark_O'Toole_(musician)","Hi-NRG|[|1|]|[|2|]|disco|[|3|]|[|4|]|dance-pop|[|4|]|new wave|[|5|]|[|6|]"
"462","Joan Osborne","https://en.wikipedia.org/wiki/Joan_Osborne","Rock|folk|country rock|blues|R&B"
"465","Will Tura","https://en.wikipedia.org/wiki/Will_Tura","Levenslied|pop rock|rock and roll|soul|gospel|country|schlager|[|1|]"
"466","Adamo","https://en.wikipedia.org/wiki/Salvatore_Adamo","Chanson|pop|Nueva ola"
"467","Arno","https://en.wikipedia.org/wiki/Arno_(singer)",""
"470","Massive Attack","https://en.wikipedia.org/wiki/Massive_Attack","Trip hop|electronic"
"474","Labi Siffre","https://en.wikipedia.org/wiki/Labi_Siffre","Soul|jazz|funk|soft rock|folk"
"477","St. Germain","https://en.wikipedia.org/wiki/St_Germain_(musician)","House|deep house|jazz house|nu jazz|groove jazz"
"479","Beastie Boys","https://en.wikipedia.org/wiki/Beastie_Boys","Hip-hop|rap rock|alternative hip-hop|hardcore punk|(early)"
"482","Kraftwerk","https://en.wikipedia.org/wiki/Kraftwerk","Electronic|synth-pop|krautrock"
"483","The Notorious B.I.G.","https://en.wikipedia.org/wiki/The_Notorious_B.I.G.","East Coast hip-hop|mafioso rap|hardcore hip-hop"
"484","Van Halen","https://en.wikipedia.org/wiki/Van_Halen","Hard rock|heavy metal|pop rock|arena rock|glam metal"
"487","Crazy Town","https://en.wikipedia.org/wiki/Crazy_Town","Rap rock|hip-hop|nu metal|rap metal|alternative rock"
"488","Roberta Flack","https://en.wikipedia.org/wiki/Roberta_Flack","Jazz|soul|R&B"
